smiles,penalized_logp
CC(C)[C@H](O)[C@]1(C[NH3+])CCc2ccccc21,-1.9551527620606763
CCC[NH2+][C@]1(C(=O)OCC)CC[C@H](n2cc(Cl)c(C)n2)C1,-2.1019870700481325
Cc1cc([C@H]2CCC[NH+]2CC(=O)NC(N)=O)no1,-4.4151348497031755
COc1ccc(Cc2noc(C3CC[NH2+]CC3)n2)cn1,-1.7348162303766517
Cc1ccc(C[NH+]2CCC(N3CCC(C(=O)N4CCOCC4)CC3)CC2)o1,-1.5011375364447301
COc1ccccc1CC(=O)N1C[C@H]2CC[C@@H]1CN(S(C)(=O)=O)C2,-5.132233354177454
CC1=C(C(=O)C2=C([O-])C(=O)N(CC[NH+](C)C)[C@H]2c2cccc(Cl)c2)[C@H](C)N=N1,-3.1464793276485516
CC(C)(C)OC(=O)N1CCc2cccc(C[NH+]3CC[C@H]([N+]4=CCCC4)C3)c21,-2.3241509652345367
O=C(NC[C@@H]1CCC[NH+](Cc2ccccc2F)C1)c1nc[nH]n1,-3.280384098847476
Cc1ccc(CCN2C[C@]34C=C[C@H](O3)[C@H](C(=O)N3CC(O)C3)[C@H]4C2=O)cc1,-3.3556292047665717
COc1cccc(C(=O)NCC[NH+](C)C2CCCCC2)c1F,-1.2813281701653216
CC(C)[NH+]1CCN(CC(=O)NCCc2ccc(F)cc2)CC1,-1.5181786624373992
C[C@@H](CO)NC(=O)NC[C@H]1Cc2ccccc2O1,-0.8819444906719809
CC(C)(O)CC[NH2+][C@H]1CCCS(=O)(=O)C1,-3.9101708857133626
CC1(C)C(=O)NCC[NH+]1Cc1ccc(OCC(F)F)cc1,-2.3268316435337035
N#C[C@H]1CN(C(=O)[C@H]2CNCc3ccccc32)CCO1,-1.8001283562329338
O=C(NC[C@@H]1CCC[NH+](CC2=c3ccccc3=[NH+]C2)C1)[C@H]1NN=C2C=CC=C[C@H]21,-6.957137593313266
COC(=O)c1cc(NC(=O)[C@H]2CC[NH2+][C@H]2C)ccc1F,-2.019944179717696
C[C@H]1[C@H](C(=O)[O-])CCN1S(=O)(=O)[C@@H](C)C#N,-4.223446959465393
O=C([O-])COc1ccccc1/C=N/NC(=O)C1CC1,-1.1460752047467435
CC(C)c1nc(C(=O)N2CCC[C@@H]([NH+]3CCCC3)C2)n[nH]1,-3.216110298240562
Cn1cc[nH+]c1N1CCN(C[C@@H](O)c2cccc(Br)c2)CC1,-1.2931607595691692
Cc1nn(C)c(C)c1-c1cc(C(=O)N[C@@H]2CC[C@H]([NH+](C)C)C2)n[nH]1,-2.852422057443013
C[C@H]1CN(C(=O)[C@@H]2CCS(=O)(=O)C2)C[C@H](C)O1,-1.9485032410339014
CCOC(=O)C1=C(N)N(C)c2ccccc2[C@@]12C(=O)OC(C)=C2C(C)=O,-1.376696101288406
O=C(NC1CC1)[C@@H]1CCC[NH+](C2CCN(C(=O)c3ccc[nH]3)CC2)C1,-2.917516589985223
CC[C@](C)(NC(=O)[C@](C)(N)c1ccccc1)C(=O)[O-],-2.1991233089644875
CCc1noc(C)c1C[NH+](C[C@@H]1CCCCO1)C(C)C,-1.7580077590709573
CCC(CC)([C@H](Cc1nc(C)cs1)NC)[NH+]1CCCC1,-2.244979046412706
CC(C)(C)CS(=O)(=O)N1Cc2nc[nH]c2C[C@H]1C(=O)[O-],-3.2583354843744137
C[NH2+][C@@]1(C(=O)[O-])CC[C@H](Sc2nccc(=O)[nH]2)C1,-5.20707645206409
COc1ncccc1C(=O)NC[C@H]1C[C@H](O)C[NH+]1Cc1ccccc1,-2.828822870288102
CC(C)C[C@@H](C[NH3+])c1nc(C2CCOCC2)no1,-1.4757963359405595
O=C1N(C[NH+]2CCN(c3ccccc3)CC2)c2ccccc2C12O[C@@H]1CCCC[C@H]1O2,-2.0787649540530637
CCOC(=O)C1(C#N)CC(OC)(OC)C1,-1.0879678073415482
[NH3+][C@@H](CSCc1nccs1)C(=O)[O-],-4.210321304789854
CC(C)[C@@H]([NH2+][C@@H](C)CS(C)(=O)=O)c1cccnc1,-2.321298090742165
CCCN[C@]1(C#N)CC[C@H](N2C[C@H](C)OC[C@@H]2C)C1,-1.6373902505614975
C[C@H](O)CC#CC[NH+]1CCC[C@H](c2cccnc2)C1,-3.3503228425585387
CC(C)OCCS(=O)(=O)N[C@@H]1CCCCC[C@H]1[NH3+],-5.854571766436429
CN1CCO[C@@H](CN(C)C2(C[NH3+])CCCCC2)C1,-2.359192629672403
Cc1c(C[NH+]2CCC[C@H]2c2ccc3c(c2)OCO3)cc(C#N)n1C,-1.982046160411739
CC[NH+]1CCC2(CC1)OC[C@H](C(=O)[O-])N2C(=O)c1ccc(F)cc1,-4.438312565439109
CC[NH+](CCNC(=O)N[C@H]1CC(=O)N(C(C)(C)C)C1)C(C)C,-3.1573570058357148
CC[C@@H]([NH2+]CCN1CCCS1(=O)=O)c1ccc(OC)cc1,-1.9985570682788212
CCCn1ncc(C[NH2+]C)c1C(F)(F)F,-1.6153033382368878
C[C@H]1C[NH+]2CCCC[C@@H]2CN1C(=O)NC[C@@H](C)C(=O)[O-],-5.639709126188395
C[C@@H]1CC[C@@H](O)[C@H]([NH+](C)CCOCC2CC2)C1,-3.388037806696009
[NH3+]C[C@H]1CCC[C@H]1S(=O)(=O)c1cccc(F)c1,-1.5701694263648593
C[C@H]1[NH2+]CCC[C@@H]1NC(=O)c1cccc(OC(F)F)c1,-1.691835233281524
CC[C@H]1C[C@H](C)CC[C@@H]1[NH2+]CCCN1CCCC1=O,-1.9760966027054372
CCN[C@@H]1[C@H]([NH+]2CCC[C@H]3CCC[C@@H]32)CCC1(C)C,-3.0328628357871383
FC(F)n1ccnc1CN1CC[NH+](CCN2CCOCC2)CC1,-2.914642066192233
O[C@@H]1C[C@@H](c2nc(C3CC3)no2)[NH+](Cc2c[nH]c3ccccc23)C1,-2.3555600492058146
Cc1ccc(-c2ccncc2)cc1NC(=O)C(=O)N[C@H]1CC[C@@H]([NH+](C)C)C1,-1.5325085456428904
CC1CCC(C[NH3+])(NC(=O)N[C@H]2CCOC2)CC1,-2.2191264539010582
O[C@H](C1CC[NH+](Cc2c(Cl)nc3ccccn23)CC1)C(F)(F)F,-2.0092190147553497
C[N+]1(/N=C(\[S-])NN)CCOCC1,-4.5078828810266405
NC(=O)CN1c2ccccc2C(=O)N[C@H]1c1cc(Cl)cc([N+](=O)[O-])c1[O-],-1.3090175654086003
C[C@@H](NC(=O)c1cc(C[NH+]2CCC(O)CC2)on1)c1cn(C)c2ccccc12,-1.831245068469944
Cc1cscc1C[NH2+][C@H](C)CS(C)(=O)=O,-2.859600375532174
C[C@@H](C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCC[C@@H]1[C@@H]1CC=CS1,-6.03541919122714
CNS(=O)(=O)CC(=O)N[C@H]1CCCN(c2ccccc2)C1,-0.8059318913879848
C[S@@](=O)c1ccc(C[NH+]2CCC(OC[C@H]3CCCO3)CC2)cc1,-2.427575697669285
CCN(CC)c1ccc(N)c(N)[nH+]1,-2.2415756705300596
C[NH2+]C[C@H]1C[C@H]1c1ccccc1Br,-1.6207835926274157
C=CC(=O)OCC(C)(C)C[NH+](C)C,-2.919188952562771
COCc1cc([C@@H](C)NC2CC[NH+]([C@@H]3CCCC[C@@H]3O)CC2)ccc1OC,-1.84797501315487
C[C@@H]1CN(Cc2noc(-c3ccc(F)cc3)n2)CC[C@@H]1[NH3+],-1.2009731569193796
COc1ccc(OC)c([C@@H](O)Cc2[nH+]ccn2C)c1,-1.6038153471051044
Cc1nnc(S[C@H](C)C(=O)N2CCOCC2)n1C,-0.8220731917029975
[NH3+][C@H](Cc1ccc(O)cc1)c1ncccn1,-1.3015349108177106
CC[NH+]1CCN(C[C@@H](C)CNC(=O)NCc2sccc2C)CC1,-2.2747636657928596
CC[C@@H](O)[C@@H]1CCCC[NH+]1Cc1nc2ccccc2n1CC,-1.909987362067978
C[C@H]1CN(S(=O)(=O)[C@@H](C)c2cnccn2)CC[NH2+]1,-4.127097735789469
O=C([O-])C1([C@@H]2CCCC[C@H]2O)CCOCC1,-2.518092736309936
C[NH2+][C@]1(C(=O)[O-])CCC[C@@H](OCC2CCCCC2)C1,-3.0288162695300156
CC[NH+](CCO[C@H]1CCCCO1)CC1CC[NH2+]CC1,-4.8920003690936795
CC(=O)N1CCc2cc(S(=O)(=O)N[C@@H](C(=O)[O-])C(C)C)ccc21,-1.805689949111908
COc1ccc(-c2ccc(C[NH2+][C@@H]3CC[C@H]([NH+](C)C)C3)o2)c([N+](=O)[O-])c1,-2.83123009533411
CC1(C)O[C@@H]2O[C@@H]3OC(C)(C)O[C@H]3[C@@H]2O1,-2.0136937544053732
COc1ccccc1[C@@H]1C[NH+](Cc2cc(C(C)=O)cn2C)C[C@H]1C(=O)[O-],-3.5842854170506917
CCO[C@@H](C)c1noc(CN2CC[NH+]([C@H]3CCCc4ccccc43)CC2)n1,-1.6997053623397576
CCN1CCN(C(=O)[C@H]2[C@@H]3C[C@H]4[C@H](OC(=O)[C@H]42)[C@H]3Cl)CC1,-6.784125410689022
CC(C)CNC(=O)[C@H](C)[NH+]1CCC[C@@H]1[C@@H]1CCCCC1=O,-2.8679040160347236
CC[C@@H](CSC)[NH+](C)Cn1nc(-c2cccs2)[nH]c1=S,-2.180646288585166
CC(C)(C)c1ccc([C@@]2(C)C[NH+]=C(N)N2CC2CC2)cc1,-1.5339464524779505
Cc1nnc(CCC[NH+]2CCC(CC[NH+]3CCCC[C@@H]3C)CC2)o1,-4.184776581204135
C[C@H]1C[C@H]([NH2+]Cc2ccccn2)CS1,-2.702479253051702
C=C(C)[C@@](C)(O)C#CC[NH+]1CCCC[C@@H]1c1cccnc1,-2.962212264558249
CC[C@](C)(C[NH3+])[C@H](O)c1ccc2c(c1)OCO2,-1.7514009827946198
C[C@H]1CCCN(C(=O)C2C(C)(C)C2(C)C)[C@@H]1C[NH3+],-1.6716409367534675
O=[N+]([O-])c1ccc([C@@H]2OC[NH+]3COC[C@@H]23)cc1,-3.696377547814516
COC(=O)[C@@H]1NS(=O)(=O)c2ccsc2C1=O,-2.627650788765558
O=C(c1nnn[n-]1)N1CCC[C@@H]1[C@@H]1CCC[NH2+]1,-5.91840973062498
O=C([O-])CC1=C(C(=O)[O-])CCCC1,-3.46358112946236
Cn1cc(C(=O)NCCc2ccccc2)c(C(=O)[O-])n1,-0.9102594519174139
Cc1nn(C)c(C)c1CN[C@H]1CCC[NH2+]C1,-2.897385650464774
CC(C)[C@H]1C[NH2+]CC[C@]12CCO[C@H](C)C2,-3.658047906746632
COc1ccc(S(=O)(=O)N(CC(=O)N2CC[NH2+]CC2)C(C)C)cc1,-1.980726760165723
CCC1(CO)CC[NH+](Cc2cc(OC)c(O)cc2Br)CC1,-1.398509126352407
CCc1nc2n(n1)CCC[C@@H]2N[C@H]1CCN(C2CC2)C1=O,-1.6208010587371753
CC(C)C[C@H](C[NH+](C)C)Nc1ncncc1N,-2.8677915205028817
Oc1ccccc1/C=[NH+]/CCC/[NH+]=C/c1ccccc1O,-3.2174157154928946
CC(C)C[C@](C)(O)CNC(=O)C1CCC(C[NH3+])CC1,-1.3899146906834914
CC(=O)Nc1ccc(CN2CC[NH+](C3CCCC3)[C@H](CCO)C2)cc1,-1.9974922847376155
COc1cc(Cl)cc(CN2C[C@@H]3CCC[NH+]3C[C@H]2C)c1OC,-2.2304463280077504
CN1CCN(c2ncc(C[NH2+]C(C)(C)C)s2)C(C)(C)C1=O,-1.8368477324337493
CC1CCN(S(=O)(=O)c2ccc(C(=O)N3CCC[C@@H]3C(=O)[O-])cc2)CC1,-0.9858944612642317
Cc1cc(NC(=O)C(=O)NC[C@H]2CC[NH+](C)C2)ccc1OC(C)C,-2.287926636642505
C#CC[NH2+]CC(=O)Nc1cccc(-c2nncn2C)c1,-2.211859408859945
NC(=O)c1cccc(CNC(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)c1,-1.9268356910564974
C/[NH+]=C(/NCc1cc(C)on1)NCc1ccccc1-n1ccnc1,-1.6390575580970406
COc1ccccc1CC(=O)N[C@@H]1CS(=O)(=O)C[C@H]1Cl,-0.9910701899519825
C[NH2+][C@@H](Cc1csc(C)n1)C(OC)OC,-2.8468693139734147
COc1c(F)cc([C@H]([NH3+])CO)cc1Cl,-1.7439020409508248
Cc1ccc(-c2nc3nc(CN4CC[NH+](C)CC4)cc([O-])n3n2)cc1,-2.730850765331509
COc1ccc([N+](=O)[O-])cc1CN1CCC[NH+](CC(=O)N2CCCC2)CC1,-5.549113557226805
C[C@@H](c1cccc(-c2ccc(C3(O)CC[NH2+]CC3)cc2)c1)[NH+]1CCCC1,-2.235102944085663
CCC[C@@H](c1nnnn1C[C@@H]1CCCO1)[NH+]1CCN(c2cc(C)ccc2C)CC1,-1.7428199024089517
CC[NH+](CC)C[C@H]1CC[NH2+]C1,-6.68232097258616
C[C@@H]([NH3+])C(=O)N1CC[C@@H](O)C1,-3.8544768240574316
C#CC(C)(C)NC[C@H]1CN(C)CCO1,-1.8854566802608397
CCOC1CC[NH+](CC[C@@H](O)c2ccc(C)c(F)c2)CC1,-1.6177979680969914
COC[C@@H](C)NC(=O)C[NH+]1CCc2sc(-c3csc(C)n3)cc2C1,-2.329871994212624
CCOc1cccc(NC(=O)/C(C#N)=C/[C@H]2C=c3ccccc3=[NH+]2)c1,-2.311059682471494
C[C@H](Cn1cccn1)[NH2+]CC(=O)N1C[C@H](C(N)=O)Oc2ccccc21,-3.3216703073861593
C[C@@H](C[NH+]1CCCCC1)NC(=O)c1n[nH]c(C2CC2)n1,-3.373096095530705
C[C@H]1C[C@@H](C)C[NH+](C[C@@H](O)CO[C@@H]2CCC[C@H]2C)C1,-3.368918895571836
Cc1csc([C@H](C)NC(=O)CCC[NH+]2CCCCC2)n1,-1.8780027134741095
O[C@]1(C[NH2+][C@@H]2CCN(CC(F)(F)F)C2)CCCc2ccccc21,-1.896400521523959
CCNS(=O)(=O)[C@@H]1CC[NH+](C[C@@H]2CCCc3ccccc32)C1,-2.8201682439328586
Cc1nc(CCC(F)(F)F)[nH]c(=O)c1CCC(=O)[O-],-1.5786319560980642
COc1ncnc2c1nc([C@@H](C)Cl)n2[C@H](C)C(N)=O,-1.3696696166833098
O=C([O-])[C@H]1C=C[C@H](NS(=O)(=O)c2ccc3c(c2)CCO3)C1,-2.8133246107445617
CCC[C@H]1CCC[NH+](CCCS)CC1,-6.158498655894706
CC[S@](=O)[C@@H]1CCC[C@H](NC(=O)NNC(=O)C(C)(C)C)C1,-1.5247051392940527
COc1cc(C[NH+]2CCC[C@]3(CCC(=O)N(C4CC4)C3)C2)cc(OC)c1,-2.328589531461603
Cc1ccccc1CC[NH+]1[C@H]2CC[C@@H]1CC(=O)C2,-3.301783710325534
C[C@@H](NC1CC[NH+]([C@H]2CCCC[C@@H]2O)CC1)c1ccsc1,-2.35152476917359
Cc1ccc([C@@](C)(O)CNC(=O)NC[C@@H](c2ccco2)[NH+]2CCCCC2)o1,-2.384856786227757
C[C@@H]1[C@H](C(=O)[O-])CCN1S(=O)(=O)c1ccc(F)c(Cl)c1,-1.6867060247483379
COC(=O)/C=C/c1ccc[n+]([O-])c1,-0.8170797794910198
[NH3+]C[C@H]1CC[C@@H](C(=O)N(C[C@@H]2CCCO2)[C@H]2CCSC2)O1,-3.156243989254109
N#Cc1nn(C(N)=O)c(N)c1C#N,-2.3762509944002836
C[C@H](CNC(=O)N1CCN(S(C)(=O)=O)CC1)N1CCOCC1,-1.8859523909375944
[NH3+]C[C@@H](c1ccc(F)cc1)[C@@H]1CCS(=O)(=O)C1,-2.010571514016634
CC(C)CNC(=O)NC(=O)[C@H](C)[NH2+]CC1(N2CCSCC2)CCCC1,-2.0977083534818726
[NH3+][C@@H](CO)c1cc(C(F)(F)F)cc([N+](=O)[O-])c1[O-],-2.9198207683574924
CCCCN1C(=O)[C@@H]2[C@H](CCC(=O)[O-])N[C@]3(C(=O)Nc4c(CC)cccc43)[C@@H]2C1=O,-3.1823862414726483
Cc1cc(C)nc(NC(=[NH2+])Nc2ccc(S(=O)(=O)Nc3nccc(C)n3)cc2)n1,-0.8544111554488982
Cn1cnnc1C[NH+]1CC[C@]2(CCCN(C3CCCC3)C2=O)C1,-3.6633555430378526
CCN(CC(C)(C)O)C(=O)[C@H]1C[C@@H]2C=C[C@H]1C2,-2.0981583084449023
CC(C)C(=O)NCC[NH2+][C@@H](C)C[C@@H]1CCCCC[NH2+]1,-7.826278160520458
CC(C)C[NH2+]C[C@H]1CCCO[C@H]1[C@H]1CC=CCC1,-1.9248531693609081
Cc1nc2c(s1)[C@H]([NH+](C)Cc1cccn1C)CCC2,-2.080110703346466
COc1ccc([C@@H]2CN(C(=O)Cn3nc4ccccc4n3)C[C@H]2[NH+](C)C)cc1,-2.0180711682784302
CC(=O)NCCn1c(SCC(=O)[O-])nc2cccnc21,-1.5695454488619938
C[C@@H]([NH2+]C[C@@H](C)[S@](C)=O)c1ccc(F)c(F)c1,-2.4036164991603006
C[NH2+]C1CCN(C(=O)C2(C)CCCC2)CC1,-1.6246365802813405
CCC(CC)[C@H](CNC(=O)c1cnc2c(C)cccn2c1=O)[NH+](C)C,-1.9009713236689705
C[NH2+]C[C@H](C)[C@H](C)n1cccn1,-3.4007746003200148
CC(C)[NH+]1CCCN(C(=O)C(C)(C)c2cccc(C#N)c2)CC1,-5.201873227802835
CC(C)CN1CCO[C@H](CNC(=O)N2CCN(C(=O)[C@H]3C[C@H]3C)CC2)C1,-1.3050359910397964
CNS(=O)(=O)[C@H]1CCC[NH+]([C@@H](C)c2ncc(C(C)(C)C)o2)C1,-3.5164897410500937
Cc1[nH+]c(NC[C@@H](C)C[C@H](C)O)ccc1I,-2.0136539235949367
COC(=O)C(C)(C)C[NH2+][C@@H]1C[C@H]1c1ccccc1,-1.7438795341326596
C[C@@H]1SCCC[C@]1(C[NH3+])N1CCC(C[NH+](C)C)CC1,-4.5462628129045
CCC[NH2+][C@H](Cc1nn(C)c2ccccc12)c1ncc[nH]1,-1.5499487749546677
O=C([O-])[C@@H]1C[C@@H]1C(=O)N1CC2(CCCC2)c2c(F)cccc21,-2.1253769628746295
COc1cc(Br)c(C[NH2+]C[C@H](C)O)cc1OC,-1.7105129907755927
COc1ccc(N2/C(=N/C(=O)CCCC(=O)[O-])S[C@@H]3CS(=O)(=O)C[C@H]32)cc1Cl,-1.8554408718528097
CC[C@@H](C)[NH+]1CCN([C@H]2CC[C@H]([NH2+]C)C2)CC1,-5.594529770530807
CCCN1CC(=O)N2[C@@H](CC3=c4ccccc4=[NH+][C@@H]3[C@H]2c2ccccc2OC)C1=O,-3.3831612563145157
Cc1noc(C[NH+]2CC[C@@H](OCCCc3ccccc3)C2)n1,-1.9741162104366468
CCc1nn(C)c(C[C@]2(C[NH3+])CCCC(C)(C)[C@@H]2O)c1Cl,-1.7282421409264088
COc1cc(NC(=O)C[C@@H]2C[NH2+]CCO2)cc(OC)c1,-2.149413856022218
COC1CC[NH+](CCNc2nccn(C)c2=O)CC1,-3.418586796162979
C[C@@H](O)c1cc(F)ccc1N(C)C[C@@H]1CCC[NH+]1C,-2.7542037166589632
OCCC#Cc1cc(F)cc(C[NH+]2CCC[C@H]2CO)c1,-3.459564790665949
C[C@H]1[NH2+]CC[C@@H]1c1nncn1C1CCCCC1,-2.344918941152088
CC[NH+]1CCN(Cc2nc3nc(C)cc(N4CCCCCC4)n3n2)CC1,-5.32100663583382
COc1cc(C)ccc1NC(=O)N[C@H]1CC[C@H]([NH+](C)C)C1,-1.524791362728668
O=C(NCCCc1n[nH]c(=O)[nH]1)[C@H]1C[C@@H]1c1c(F)cccc1F,-1.2300409364752762
CCN(CCOC)[C@]1(C[NH3+])CCCS[C@@H]1C,-2.8775302456666143
CC(C)c1cc(NC(=O)C[NH+]2CCC[C@H]2c2cccs2)on1,-1.822554617687471
[NH3+][C@@H](Cc1cccc(F)c1F)[C@H]1CN2CCC[C@@H]2CO1,-2.1043121565653946
C[C@H](CCO)[NH2+][C@H]1CCc2c(Br)cccc21,-1.869941350316183
CC(C)[C@@H](NC(=O)c1ccc(NS(C)(=O)=O)cc1)C(=O)[O-],-1.495667832107236
COc1ccccc1[C@H](C)NC(=O)C[NH+](C)C1CCS(=O)(=O)CC1,-2.681861797984071
COCc1ccc(C[NH+](C)Cc2ccccc2O)o1,-1.4398304810710325
COC(=O)c1sccc1NC(=O)[C@@H]1CC[NH2+][C@@H]1C,-2.509853832600845
COCCCS(=O)(=O)/N=C(\[O-])c1cnn(C(C)C)c1C,-1.790218985204884
[N-]=[N+]=NC[C@H](Nc1ccc(Br)cc1)C(=O)[O-],-1.195996745718984
Cc1ccc([C@H](NC(=O)NC[C@H]2CC[NH+](C3CC3)C2)C2CC2)cc1,-1.7880024983827556
Cc1ccc(F)cc1NC(=O)C(=O)NCCCn1cc[nH+]c1,-0.9900002044997125
CC[NH+]1CCC[C@@H]1CNC(=O)N1CCC[C@H]([NH+](C)C)C1,-5.785296706244038
Cc1nsc(N2CCC[NH+](Cc3ncccc3C)CC2)n1,-5.895707757904511
Cc1nc(C[NH+]2CCC[C@@H]2CN2CCOCC2)cs1,-3.0483603421644725
Cc1c(C[NH+]2CC[C@@H](N3CCOCC3)[C@H](O)C2)[nH]c2c(C)cccc12,-2.8686685732685375
CCN[C@@H]1c2cc(OC)ccc2C[C@H]1[NH+](C)C(C)C,-2.222686493910318
COc1cc(C[NH+]2CC[C@@H](NCc3scnc3C)C2)cc(OC)c1,-1.9883540575920455
CC[C@H](C)[C@H]1OCCC[C@H]1C(=O)[O-],-2.426519519191991
Cc1c(Cl)cccc1S(=O)(=O)NC[C@@H](C)CN1CC[NH+](C)CC1,-2.2364307082351016
CC(C)[C@@H]1C(=O)NCC[NH+]1Cc1cc(F)cc(F)c1,-2.919236603473582
C[C@@H](C[C@@H]1CCCC[NH2+]1)[NH2+]C[C@@H]1CCCC[NH+]1C,-7.016450554535641
[NH3+]C[C@](O)(CN1CC[NH+]2CCCC[C@H]2C1)C1CC1,-6.138519925397251
Cc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)N1CC[C@H]([NH+]2CCCC2)C1,-2.5886358379541856
CC(C)C[NH+](C)CCC(=O)[O-],-5.634725771940829
OCc1ccc(CN2CCCC[C@@H]([NH+]3CCCC3)C2)o1,-5.8749205341216015
CCCn1nnnc1CN1CC[C@]2(C1)NC(=O)N(C(C)C)C2=O,-2.360977647677025
C[C@H]1CN(c2ccccc2C[NH2+]C2CCC(O)CC2)C[C@@H](C)O1,-1.5496822971190003
CC[C@H](C)C[C@H](C)NC(=O)[C@@H]1CCC[NH2+][C@@H]1C,-2.5762965534038504
COCC[N+]1=C(C)C[C@@H](C(=O)CSc2nccc([O-])n2)[C@H]1C,-2.9460340237156415
